t (s),RPM,Torque,Power (W),N_Re,N_Po
50.939448595047,603.484898,0.0,0.0,44970.486023083104,0.0
51.040672302246094,599.929016,0.0,0.0,44705.50881767054,0.0
51.14171886444092,599.759509,0.0,0.0,44692.87749549564,0.0
51.24313831329346,602.9569,0.0,0.0,44931.1406695243,0.0
51.34402561187744,599.613068,0.0,0.0,44681.96500544738,0.0
51.44516563415527,596.443377,0.0,0.0,44445.76597994502,0.0
51.54627442359924,595.889501,0.0,0.0,44404.49224965107,0.0
51.647377729415894,597.592716,0.0,0.0,44531.412420488225,0.0
51.7484667301178,599.665327,0.0,0.0,44685.8592414703,0.0
51.849626541137695,598.251358,0.0,0.0,44580.49310329136,0.0
52.01670837402344,594.953949,0.0,0.0,44334.776788204894,0.0
52.11827087402344,600.584075,0.0,0.0,44754.322502489194,0.0
52.21966218948364,601.019631,0.0,0.0,44786.77926333803,0.0
52.3206353187561,599.486581,0.0,0.0,44672.539447518,0.0
52.42181992530823,602.582838,0.0,0.0,44903.266318403796,0.0
52.522940158843994,602.866171,0.0,0.0,44924.37972614375,0.0
52.62406134605408,606.094186,0.0,0.0,45164.924939322904,0.0
52.72517776489258,604.614155,0.0,0.0,45054.63599320377,0.0
52.82631301879883,605.930463,0.0,0.0,45152.72462924462,0.0
52.9272301197052,605.115973,0.0,0.0,45092.03046559226,0.0
53.09493637084961,604.823464,0.0,0.0,45070.233280708715,0.0
53.196263790130615,601.71623,0.0,0.0,44838.68842576614,0.0
53.29753875732422,602.523,0.0,0.0,44898.807310479046,0.0
53.39880967140198,604.16063,0.0,0.0,45020.84021846075,0.0
53.50010323524475,601.788481,0.0,0.0,44844.07242559186,0.0
53.601006269454956,606.893726,0.0,0.0,45224.50505891505,0.0
53.70219278335571,604.614443,0.0,0.0,45054.657454386994,0.0
53.80506348609924,606.994608,0.0,0.0,45232.02258352256,0.0
53.90776467323303,605.142136,0.0,0.0,45093.98007995662,0.0
54.01112198829651,603.242606,0.0,0.0,44952.430908471935,0.0
54.20932865142822,603.072117,0.0,0.0,44939.72640962367,0.0
54.31210207939148,603.702494,0.0,0.0,44986.70084123201,0.0
54.415406942367554,604.929642,0.0,0.0,45078.14545263014,0.0
54.518574476242065,606.903683,0.0,0.0,45225.24703461454,0.0
54.621198892593384,600.465979,0.0,0.0,44745.52222507549,0.0
54.72435021400452,607.28256,0.0,0.0,45253.480189892216,0.0
54.827489137649536,607.468702,0.0,0.0,45267.351118952836,0.0
54.930559396743774,609.333528,0.0,0.0,45406.31421785789,0.0
55.033302545547485,608.913748,0.0,0.0,45375.033052935076,0.0
55.13605451583862,603.762038,0.0,0.0,44991.137940865534,0.0
55.33480739593506,605.463891,0.0,0.0,45117.95661819033,0.0
55.43753385543823,604.764469,0.0,0.0,45065.83709145572,0.0
55.540218353271484,605.051482,0.0,0.0,45087.22472542588,0.0
55.64276599884033,603.796539,0.0,0.0,44993.70888629173,0.0
55.745611906051636,605.824159,0.0,0.0,45144.803068055524,0.0
55.84772443771362,607.062508,0.0,0.0,45237.082355541854,0.0
55.95117163658142,607.65784,0.0,0.0,45281.44530393348,0.0
56.05420422554016,607.37635,0.0,0.0,45260.46923286261,0.0
56.15730333328247,603.986793,0.0,0.0,45007.88623335739,0.0
56.260509729385376,603.655017,0.0,0.0,44983.162950272366,0.0
56.461626291275024,605.632184,0.0,0.0,45130.49747551644,0.0
56.56426811218262,604.600328,0.0,0.0,45053.60563285457,0.0
56.66757011413574,604.211071,0.0,0.0,45024.5989807645,0.0
56.77041149139404,601.774359,0.0,0.0,44843.02008243344,0.0
56.87364149093628,600.755078,0.0,0.0,44767.065303588104,0.0
56.976635694503784,602.64363,0.0,0.0,44907.796416498015,0.0
57.079590797424316,602.741076,0.0,0.0,44915.05789726667,0.0
57.183045625686646,603.015661,0.0,0.0,44935.51942156591,0.0
57.28623962402344,600.807701,0.0,0.0,44770.98666416204,0.0
57.387632608413696,604.149704,0.0,0.0,45020.02603482183,0.0
57.591407775878906,605.032165,0.0,0.0,45085.785261271296,0.0
