PPR,Sampling Window (ms),PWM (%),Settled Interval,Samples,Mean RPM,Median RPM,Standard Deviation (RPM),Coefficient of Variation (%),Minimum RPM,Maximum RPM,Filtered Mean RPM,Filtered SD (RPM),Revolution Increment,File
192,20,50,50+1 to 50+9 s,800,1269.762326835,1265.782508,15.714805397677761,1.2376178648210776,1224.098533,1316.392954,1269.7816622675,4.209798349324338,169,mixr1_log_20260902_143640_192ppr_20ms.csv
192,20,60,60+1 to 60+9 s,800,1528.8363305925002,1523.4192189999999,18.826297789916367,1.2314135537726423,1477.353771,1576.463368,1528.7927781575,5.025874290392231,203,mixr1_log_20260902_143640_192ppr_20ms.csv
192,20,70,70+1 to 70+9 s,800,1785.9501148925,1782.386707,23.427143773609984,1.3117468163448738,1694.951306,1853.3419,1785.8521799987502,5.72674596986781,238,mixr1_log_20260902_143640_192ppr_20ms.csv
192,20,80,80+1 to 80+9 s,800,2042.9658853299998,2037.651745,24.106356812092034,1.179968641923658,1941.277834,2130.685288,2042.866986575,6.551135767909974,273,mixr1_log_20260902_143640_192ppr_20ms.csv
192,20,90,90+1 to 90+9 s,800,2297.918080355,2290.917884,26.375929592490564,1.1478185326961619,2238.805689,2370.813198,2298.07225262625,7.422208194101309,308,mixr1_log_20260902_143640_192ppr_20ms.csv
200,10,0,0+1 to 0+9 s,800,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,mixr1_log_20260902_144148_200ppr_10ms.csv
200,10,10,10+1 to 10+9 s,800,211.6474273275,217.4733485,23.96496529802377,11.323060053520399,157.459454,254.998547,211.52112847,13.22021264805762,28,mixr1_log_20260902_144148_200ppr_10ms.csv
200,10,20,20+1 to 20+9 s,800,477.92952152500004,479.76137,15.469921015759303,3.2368624073267434,427.484696,523.157683,478.01460010374996,4.421536978719483,63,mixr1_log_20260902_144148_200ppr_10ms.csv
200,10,30,30+1 to 30+9 s,800,739.14822889125,740.141969,12.663593758461777,1.7132684979111215,674.98893,783.755996,739.0947881087501,3.2253119419634224,98,mixr1_log_20260902_144148_200ppr_10ms.csv
200,10,40,40+1 to 40+9 s,800,998.9987263025,997.483442,14.980647633974025,1.4995662396308036,914.978955,1072.127543,999.073954815,3.9478000930649904,132,mixr1_log_20260902_144148_200ppr_10ms.csv
200,10,50,50+1 to 50+9 s,800,1258.00383541875,1254.323683,20.669151716922485,1.6430118203926123,1169.265467,1378.24445,1258.0171083225,4.845138228306705,168,mixr1_log_20260902_144148_200ppr_10ms.csv
200,10,60,60+1 to 60+9 s,800,1518.5646894212498,1514.993372,26.771367458484253,1.76293888860851,1380.607555,1619.769547,1518.65610161,6.899470119420582,202,mixr1_log_20260902_144148_200ppr_10ms.csv
200,10,70,70+1 to 70+9 s,800,1776.6366730099999,1773.718339,28.48085106064928,1.6030768413891103,1643.407739,1869.15858,1776.68024453,6.131182817978406,235,mixr1_log_20260902_144148_200ppr_10ms.csv
200,10,80,80+1 to 80+9 s,800,2036.9844547599996,2032.518953,29.466035983182902,1.4465518337328025,1923.869426,2143.051538,2036.9255641012498,7.0256979945880795,271,mixr1_log_20260902_144148_200ppr_10ms.csv
200,10,90,90+1 to 90+9 s,800,2293.28462208875,2287.697352,39.518076013092596,1.7232085207591494,2100.809769,2407.490129,2293.33013611625,9.223763791331095,304,mixr1_log_20260902_144148_200ppr_10ms.csv
200,20,0,0+1 to 0+9 s,800,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,mixr1_log_20260902_144350_200ppr_20ms.csv
200,20,10,10+1 to 10+9 s,800,215.822204245,222.833622,21.972434828209995,10.180803641161512,172.441094,247.497575,215.64202549375,11.99393368538993,29,mixr1_log_20260902_144350_200ppr_20ms.csv
200,20,20,20+1 to 20+9 s,800,482.28452049875,483.488781,13.09662338112614,2.715538820856699,448.706512,518.634621,482.35465235375,4.291446877443577,64,mixr1_log_20260902_144350_200ppr_20ms.csv
200,20,30,30+1 to 30+9 s,800,742.3702475825,741.921302,8.952506150497742,1.2059354721786375,707.87991,774.291726,742.37760469625,2.8949894619321648,99,mixr1_log_20260902_144350_200ppr_20ms.csv
200,20,40,40+1 to 40+9 s,800,1004.71475872875,1002.401394,12.324758836195903,1.2266923252715258,965.490724,1042.623101,1004.7128408775,3.566783634266626,134,mixr1_log_20260902_144350_200ppr_20ms.csv
200,20,50,50+1 to 50+9 s,800,1265.127995685,1259.9932275,16.273692071617656,1.2863277176003294,1203.629457,1313.132475,1265.1479493825,4.404431447690758,168,mixr1_log_20260902_144350_200ppr_20ms.csv
200,20,60,60+1 to 60+9 s,800,1524.3536987712498,1519.8492495,17.78935367355041,1.167009578412808,1472.764227,1589.707334,1524.3513485237502,4.954521799807475,203,mixr1_log_20260902_144350_200ppr_20ms.csv
200,20,70,70+1 to 70+9 s,800,1783.04461068,1777.377601,21.12452343188012,1.1847445266007033,1723.47474,1847.88606,1783.033407535,6.009803467450509,237,mixr1_log_20260902_144350_200ppr_20ms.csv
200,20,80,80+1 to 80+9 s,800,2040.0743494425,2033.423679,25.354616889388573,1.2428280810607386,1960.297296,2114.780085,2040.1057283212501,7.1767130922237685,272,mixr1_log_20260902_144350_200ppr_20ms.csv
200,20,90,90+1 to 90+9 s,800,2295.35748399875,2294.740465,27.617967334015095,1.203209849731195,2227.655097,2378.397596,2295.4184660875,8.203328166804729,306,mixr1_log_20260902_144350_200ppr_20ms.csv
250,10,0,0+1 to 0+9 s,800,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,mixr1_log_20260902_144645_250ppr_10ms.csv
250,10,10,10+1 to 10+9 s,800,212.77763033374998,216.558474,21.98963231622023,10.334560208104882,162.172517,251.993045,212.71059294875,12.2051442534056,28,mixr1_log_20260902_144645_250ppr_10ms.csv
250,10,20,20+1 to 20+9 s,800,477.02081350875,478.267777,15.718882504717035,3.295219424304785,431.92938,529.66731,477.0251385275,4.433993442208918,64,mixr1_log_20260902_144645_250ppr_10ms.csv
250,10,30,30+1 to 30+9 s,800,736.9807344400001,737.205968,12.307262258473202,1.6699571214470021,671.991869,791.962461,736.9682610062501,3.1710185319211237,98,mixr1_log_20260902_144645_250ppr_10ms.csv
250,10,40,40+1 to 40+9 s,800,995.7798117924999,995.729361,16.17339043609733,1.6241934456357034,905.987044,1064.535585,995.78554731375,4.343802230147026,132,mixr1_log_20260902_144645_250ppr_10ms.csv
250,10,50,50+1 to 50+9 s,800,1252.5658302675,1249.206426,23.03535349596831,1.8390533207383473,1139.544296,1338.420122,1252.51693310125,5.495965551089857,166,mixr1_log_20260902_144645_250ppr_10ms.csv
250,10,60,60+1 to 60+9 s,800,1514.0040915837499,1509.62038,25.36747313801569,1.6755220992487287,1408.989811,1599.593367,1514.0715369175002,5.887582971254312,200,mixr1_log_20260902_144645_250ppr_10ms.csv
250,10,70,70+1 to 70+9 s,800,1774.225255175,1769.972742,29.544008350924138,1.6651779848557096,1661.795765,1910.96718,1774.2714332412497,6.747552496742732,235,mixr1_log_20260902_144645_250ppr_10ms.csv
250,10,80,80+1 to 80+9 s,800,2033.6702828300001,2027.9739405,31.28693133117659,1.5384466004803172,1918.072115,2164.13726,2033.6505865400002,7.708946320561678,269,mixr1_log_20260902_144645_250ppr_10ms.csv
250,10,90,90+1 to 90+9 s,800,2290.78098699125,2287.3341585,36.30070592866927,1.5846432345480228,2122.932377,2428.57484,2290.8521563637496,8.523343204827189,303,mixr1_log_20260902_144645_250ppr_10ms.csv
